Route ID,Direction,Route Length (miles),Stops per Mile,Mean Stop Spacing (ft),Stop Spacing Std Dev (ft),% Bus Lane Coverage,Stop Signs per Mile,Street Lights per Mile,Right Angle Turns,Curvature per Mile,Borough,Type
M10,S,5.2555224157451175,8.562421856518709,630.6600003403977,193.22019216001772,0.4718936832646458,0.1902760412559713,18.45677600182922,6.0,79.92096959613096,Manhattan,Local
M100,N,5.874851904814102,5.617162872302943,969.3505642943268,255.99173949812683,1.2557035823141771,0.3404341134729056,14.808883936071396,9.0,114.7809652358174,Manhattan,Local
M100,S,6.213937909127457,5.632499151397957,964.9848861345412,421.5191260036773,1.685907742341941,0.4827856415483963,14.161712152086292,9.0,114.7809652358174,Manhattan,Local
M102,N,7.918153111011635,7.577524601861898,708.6068288595671,212.7474336345417,35.41114614420425,0.1262920766976983,19.57527188814324,11.0,64.29286117434839,Manhattan,Local
M102,S,7.518544208061062,7.315245940967049,735.1465255230984,210.60407558298903,43.76936248537021,0.1330044716539463,20.48268863470774,11.0,64.29286117434839,Manhattan,Local
M103,N,7.897147208812727,6.711284290212456,796.9833453514156,321.348114833625,35.50542558421116,0.3798840164271201,20.89362090349161,6.0,34.321009079507824,Manhattan,Local
M103,S,7.887365294224343,6.84639267811552,785.7601651604629,331.02743914349594,41.72276001635071,0.3803551487841955,20.66596308394129,6.0,34.321009079507824,Manhattan,Local
M104,N,4.912760891425034,6.92075204786482,786.0377200695,271.8370445095727,16.383280679012486,0.2035515308195535,9.159818886879908,8.0,112.62733015205232,Manhattan,Local
M104,S,5.302567743025064,7.7321030087604115,699.9359385266557,214.8725899733976,1.115579482063278,0.188587878262449,16.784321165357966,8.0,112.62733015205232,Manhattan,Local
M106,E,2.425545355232351,6.596454675846417,853.7722452256244,702.730658532992,20.801651664140085,0.412278417240401,9.482403596529224,14.0,252.9377579941904,Manhattan,Local
M106,W,2.491852735591219,6.8222330144909495,822.3114027451022,662.3049927788849,38.81551205703956,0.4013078243818205,10.032695609545517,14.0,252.9377579941904,Manhattan,Local
M116,E,2.901645201538379,6.8926414536816925,806.3519296906653,367.12711099688335,12.777520955492353,0.3446320726840846,9.649698035154367,6.0,107.930972627423,Manhattan,Local
M116,W,2.500056306174145,8.79980180673081,628.5855855523566,256.1364601335968,0.4972926966565589,0.3999909912150368,9.99977478037592,6.0,107.930972627423,Manhattan,Local
